#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -29.93165     7.43776             5486
1    -31.59507     2.60268             55580
2    -31.65392     2.44051             69232
3    -22.08673     1.21015             67443
4    -23.24309     1.57056             67550
5    -23.17130     1.66174             62764
6    -21.21709     2.16846             23626
