#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -23.83658     4.00292             6518
1    -23.66912     1.96664             56535
2    -23.70939     1.48107             69335
3    -20.91048     1.39284             67524
4    -31.67725     2.44857             67447
5    -32.81056     2.48313             62393
6    -31.53554     5.00245             21712
