#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -34.75288     4.52376             4931
1    -31.17004     3.41332             37962
2    -29.47119     1.65739             134043
3    70.50114     3.40723             141137
4    -20.93218     2.15436             31741
5    -18.04975     9.22324             2605
