#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -34.77308     3.03817             2054
1    -33.98943     2.36228             30743
2    -23.91025     1.32675             140677
3    -29.80814     1.60741             144772
4    -33.36166     3.33991             31051
5    -29.50000     0.00000             1729
