#Plane_1u2
#Card       tzero  t_zero_err      entries
0    -19.50000     0.00000             231
1    -26.69557     2.49444             28913
2    -25.06293     1.31081             125806
3    -30.24594     1.52422             137251
4    -32.69242     2.23711             52451
5    -36.47996     6.49714             5441
