#Plane_1u1
#Card       tzero  t_zero_err      entries
0    -9.50000     0.00000             205
1    -32.33169     3.86033             25466
2    -33.49184     1.69776             121767
3    -32.89309     1.64625             141851
4    -35.63733     2.31282             57102
5    78.35298     10.98566             6077
