#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -19.50000     0.00000             314
1    -31.74476     3.32417             49019
2    -27.03195     1.85204             75380
3    -35.02029     2.66940             73866
4    -34.68304     2.06018             73156
5    -33.59039     1.83154             63425
6    -33.13362     6.02140             14017
