#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -6.56902     1.45366             5719
1    -5.27875     0.27262             99376
2    -3.96255     0.10824             438016
3    99.90628     6.19005             89563
4    10.50000     0.00000             478
5    10.50000     0.00000             8
