#Plane_2v1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             126
1    8.76028     0.60374             154859
2    -2.59234     0.11938             320777
3    -1.98544     0.21490             124760
4    -3.06077     0.43743             27611
5    108.50000     0.00000             2000
