#Plane_1x1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             250
1    -3.68899     0.20680             186372
2    1.86343     0.19246             236558
3    -5.72105     0.26134             129702
4    -7.25116     0.47184             55526
5    -6.79762     0.80584             16116
6    0.50000     0.00000             531
