#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -1.47974     0.60515             16488
1    -2.56388     0.17286             213482
2    -3.33409     0.18699             207107
3    5.98543     0.52084             118446
4    5.29955     0.85905             55462
5    4.04741     1.37056             19151
6    10.50000     0.00000             1292
