#Plane_1u1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             32
1    -2.11676     0.24330             119083
2    -5.44638     0.13409             351124
3    -3.95336     0.17672             130548
4    -7.64921     0.56234             26331
5    106.50000     0.00000             1240
