#Plane_1u2
#Card       tzero  t_zero_err      entries
0    80.50000     0.00000             41
1    3.32065     0.47403             135642
2    3.52852     0.24675             349639
3    -1.29090     0.13986             122280
4    -5.25466     0.53923             23854
5    -1.50000     0.00000             1032
