#Plane_1x2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             677
1    -4.56081     0.16031             197645
2    -7.10141     0.22749             233594
3    -4.25349     0.24738             127144
4    -4.21977     0.37760             53524
5    -3.72572     0.42353             15081
6    6.50000     0.00000             428
