#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -29.50000     0.00000             2343
1    -32.61699     2.88411             36152
2    -23.87670     1.45835             165131
3    -29.53104     2.40270             90973
4    -35.28234     8.92014             5035
5    -19.50000     0.00000             101
