#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -29.50000     0.00000             489
1    -32.88422     2.35424             70335
2    -35.35232     2.26258             90801
3    -34.18607     2.45831             67049
4    -32.66022     3.46110             44346
5    -33.71598     4.71274             22909
6    -27.55057     8.37869             3192
