#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -29.94323     5.22337             6882
1    -31.08564     1.73267             75133
2    -31.42351     2.51158             82225
3    -22.26357     1.47306             61532
4    -23.88734     1.47066             43568
5    -22.87667     1.95567             25678
6    -24.27192     2.66409             6298
