#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -9.50000     0.00000             220
1    -32.32856     2.90155             66400
2    -26.30339     1.67830             91263
3    -35.19937     2.84931             67494
4    -34.18086     2.73971             45312
5    -33.31586     5.43179             24050
6    -35.00529     10.63083             3567
