#Plane_2v1
#Card       tzero  t_zero_err      entries
0    -11.50000     0.00000             355
1    -19.78947     1.50934             51054
2    -31.03738     1.86575             129740
3    -30.50099     1.75074             86281
4    -31.65610     3.70364             29660
5    79.78191     12.28112             4681
