#Plane_1u2
#Card       tzero  t_zero_err      entries
0    -9.50000     0.00000             158
1    -25.51620     1.95435             44777
2    -24.70041     1.34187             141173
3    -30.28920     2.40296             85463
4    -32.33231     2.95767             26249
5    -37.90367     4.04057             2837
