#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -37.90829     7.63763             2729
1    -34.51400     2.89738             40042
2    -32.51363     1.54365             172403
3    74.43343     4.00492             82183
4    -26.50101     5.23068             2819
5    -9.50000     0.00000             93
