#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -30.99192     7.18803             5615
1    -30.84418     2.77949             44731
2    -29.64676     1.56462             157347
3    71.95980     4.52072             90126
4    -22.13043     3.39068             5481
5    -9.50000     0.00000             155
