#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -23.97026     3.44358             8303
1    -22.72936     1.21584             76284
2    -23.16721     1.72264             81682
3    -21.82531     1.38923             60845
4    -31.83544     2.33733             42999
5    -32.35233     4.79354             25019
6    -63.58254     5.90238             5744
