#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -33.10212     2.76322             5202
1    -29.59820     2.01078             41037
2    -20.93161     0.85904             150496
3    -20.94309     1.12020             98607
4    -23.65793     3.04405             6323
5    0.50000     0.00000             162
