#Plane_2v2
#Card       tzero  t_zero_err      entries
0    -9.50000     0.00000             401
1    -22.44355     1.34522             56737
2    -21.51248     0.96082             131266
3    -20.63434     1.04225             82760
4    -28.82741     2.15066             27266
5    -30.62874     7.02280             4309
