#Plane_1u1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             247
1    -2.25178     0.28934             72711
2    -6.00887     0.18972             318135
3    -4.54326     0.13544             272183
4    -7.37923     0.33770             101105
5    105.86652     9.05676             11257
