#Plane_1x1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             489
1    -4.03638     0.23077             126928
2    1.79622     0.21072             207268
3    -5.58000     0.21787             176432
4    -6.20045     0.25791             141362
5    -5.28732     0.27617             97467
6    -4.49461     0.65441             18908
