#Plane_2x2
#Card       tzero  t_zero_err      entries
0    4.73645     1.26290             15448
1    5.70276     0.47645             149457
2    5.46866     0.42596             189101
3    6.43599     0.56823             160346
4    -2.94658     0.20313             131996
5    -4.09430     0.21904             98269
6    -3.38471     0.41300             29283
