#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -3.58140     0.58100             11498
1    -2.80188     0.27063             93655
2    -1.25500     0.10240             356274
3    96.96108     3.34410             278276
4    7.82613     1.14972             36551
5    10.50000     0.00000             1907
