#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -4.59861     1.57870             4833
1    -3.97051     0.29551             75020
2    4.42713     0.27211             373739
3    -1.29535     0.08763             283031
4    -3.48705     0.46822             35216
5    0.50000     0.00000             1265
