#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -2.64465     0.66107             12843
1    -2.12946     0.18867             146673
2    -2.62656     0.15816             189178
3    6.31804     0.42888             161404
4    5.31866     0.48239             132984
5    5.15033     0.68685             99605
6    5.82880     1.59506             31933
