#Plane_1u2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             285
1    3.47774     0.52877             83017
2    3.84186     0.24610             325198
3    -2.39312     0.14118             261601
4    -4.94532     0.31490             92851
5    -6.56062     0.96170             10050
