#Plane_1x2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             994
1    -4.59455     0.19920             134744
2    -6.82141     0.22531             207534
3    -4.31266     0.18804             176356
4    -3.52662     0.17515             139316
5    -3.13114     0.17444             93932
6    2.29867     1.12828             17145
