#Plane_2v2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             742
1    6.85765     0.74489             106901
2    6.84766     0.35769             303620
3    7.74049     0.53797             253915
4    -0.40988     0.35877             96775
5    -3.41156     1.10800             15229
