#Plane_2v1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             676
1    7.44250     0.72521             96175
2    -2.28070     0.10283             297112
3    -2.00802     0.10235             262706
4    -2.64306     0.20000             104795
5    105.33956     9.26445             16531
